Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2014,,,,,,,,,,,,2014,,,,,,,,,,,,2014,,,,,,,,,,,,2014,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,115.52,116.03,116.98,117.05,117.12,117.12,117.29,118.32,119.47,120.17,120.18,120.28,116.92,117.95,119.62,119.82,119.81,119.81,120.14,122.17,122.47,123.45,123.45,123.45,103.47,103.59,103.74,103.75,104.08,104.08,104.08,104.21,103.69,104.73,104.75,104.95,121.63,121.54,121.86,121.77,121.77,121.77,121.77,121.77,125.52,125.52,125.52,125.71
KOTA BANDA ACEH,106.33,106.49,106.92,106.93,106.93,107.18,107.51,107.5,107.82,107.8,107.83,108.05,102.51,102.51,102.61,102.65,102.65,102.81,102.82,102.8,102.96,102.96,102.95,102.95,106.75,106.98,107.59,107.53,107.53,107.57,107.62,107.62,107.72,107.6,107.81,108.27,115.04,115.54,116.58,116.58,116.58,117.24,118.62,118.62,119.54,119.54,119.54,120.05
KOTA LHOKSEUMAWE,104.01,104.09,104.51,105.78,106.26,106.36,106.49,106.71,106.78,107.21,107.37,107.65,103.34,103.34,104.09,105.4,105.4,105.4,105.4,105.4,105.4,106.29,106.55,106.93,102.19,101.76,101.58,103.17,102.96,103.08,103.29,103.31,103.25,103.15,103.25,103.43,107.16,107.94,108.29,109.14,111.29,111.59,111.88,112.78,113.12,113.12,113.12,113.31
KOTA SIBOLGA,108.62,109.76,109.92,109.96,109.94,110.98,111.14,111.09,111.07,111.44,114.24,115.26,108.74,109.05,109.37,109.5,109.5,109.51,109.78,109.78,109.78,109.78,113.83,115.67,105.51,106.23,106.16,105.97,105.88,106.07,106.16,105.88,105.76,105.44,107.17,107.35,110.04,112.84,112.84,112.84,112.84,116.09,116.09,116.09,116.09,117.45,118.66,118.66
KOTA PEMATANG SIANTAR,116.22,117.37,117.64,119.26,119.5,119.51,119.97,120.48,121.66,121.73,122.22,125.35,119.65,120.6,120.79,121.6,121.6,121.62,122.33,122.45,122.45,122.57,122.57,122.7,101.76,100.18,101.33,100.31,101.84,101.83,102.59,103.29,104.23,104.33,107.45,108.69,117.97,120.53,120.53,124.35,124.35,124.35,124.35,125.29,128.11,128.11,128.11,135.98
KOTA MEDAN,107.76,107.91,108.04,108.82,109.7,110.06,111.34,111.71,112.03,112.43,113.5,114.37,106.86,107.1,107.34,108.75,108.79,109.05,110.4,110.75,111.31,111.48,111.55,112.72,103.21,102.98,102.9,102.81,102.89,103.47,103.71,103.78,103.82,104.08,103.71,104.85,113.02,113.24,113.26,113.26,116.61,117,118.9,119.49,119.49,120.52,124.83,124.84
KOTA PADANGSIDIMPUAN,111.32,111.54,111.55,112.13,112.2,113.34,113.92,114.18,114.53,115.54,117.75,118.28,110.89,111.08,111.08,112.11,112.11,112.61,113.05,113.42,113.64,114.14,116.02,116.06,108.34,108.26,108.39,108.54,108.39,109.48,109.61,110.03,110.89,110.85,111.38,113.76,113.45,113.86,113.86,113.86,114.16,116.41,117.43,117.43,117.78,120.16,123.7,124.19
KOTA PADANG,113.28,113.54,113.81,114.38,114.47,114.79,115.39,115.94,116.15,116.31,116.42,117.22,112.1,112.22,112.23,112.63,112.68,112.68,112.69,113.27,113.75,113.75,113.76,115.01,105.42,105.77,105.85,106.06,105.86,106.43,106.64,107.56,107.11,107.39,108.02,108.21,121.75,122.32,123.35,124.55,124.98,125.88,128.23,128.43,128.43,128.89,128.89,129.04
KOTA BUKITTINGGI,105.59,106.43,106.26,106.3,106.81,106.9,107.32,107.38,108.13,108.31,108.33,108.84,102.81,103.46,103.46,103.65,104.06,104.32,104.49,104.59,105.83,106.12,106.13,106.26,101.14,102.9,101.75,100.79,100.03,99.6,99.52,99.53,99.56,99.57,99.61,99.74,115.17,115.87,115.87,116.18,117.71,117.71,119.05,119.05,119.05,119.05,119.05,120.77
