90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,130.15,131.18,128.05,125.23,126.88,128.47,129.52,128.72,130.09,130.95,131.44,128.8,133.14,134.23,130.21,126.53,128.19,130.22,131.56,130.54,132.31,133.24,133.86,130.43,105.29,105.52,105.51,105.86,105.86,106,106.12,106.12,106.1,106.04,106.18,106.16,-,-,-,-,-,-,-,-,-,-,-,-,126.94,128.04,128.04,128.04,130.49,130.49,130.49,130.49,130.49,131.42,131.42,131.53
KOTA BANDA ACEH,116.8,118.9,117.44,117.62,118.05,118.93,119.97,118.42,118.54,117.34,118.97,118.87,116.22,118.37,116.61,116.59,116.83,117.83,119.01,117.01,117.08,115.45,117.33,117.11,107.03,107.04,106.33,106.48,106.48,106.88,106.9,106.9,106.92,106.94,106.94,106.94,-,-,-,-,-,-,-,-,-,-,-,-,127.5,130.73,130.73,132.23,134.21,134.65,135.43,135.74,136.35,137.05,138.22,138.85
KOTA LHOKSEUMAWE,122.93,124.35,122.74,120.97,122.66,122.74,122.21,121.81,122.46,121.64,122.33,122.66,124.43,125.99,123.61,121.37,123.52,123.63,122.91,122.07,122.9,121.85,122.74,123.04,109.95,110.06,110.18,109.98,109.98,109.98,110.43,110.39,110.55,110.58,110.4,110.48,-,-,-,-,-,-,-,-,-,-,-,-,122.34,123.75,125.48,125.48,125.48,125.48,125.48,127.35,127.35,127.35,127.35,128.01
KOTA SIBOLGA,123.17,123.93,121.27,119.65,120.09,122.06,123.05,123.01,124.3,123.62,122.84,122.83,123.95,123.26,119.68,117.59,118.04,120.55,121.83,121.1,122.75,121.85,120.84,120.71,110.86,111.42,112.13,112.13,113.91,114.22,114.22,114.22,114.22,114.81,114.97,117.29,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,122.48,129.62,130.23,130.23,130.34,130.34,130.34,133.28,133.28,133.28,133.28,133.28
KOTA PEMATANG SIANTAR,123.15,122.28,121.01,120.03,121.25,122.93,122.96,121.35,121.68,121.05,122.05,123.29,122.87,121.48,119.48,118.03,119.2,121.29,121.21,119.21,119.56,118.72,119.97,121.47,108.08,107.78,107.78,108.48,108.14,108.14,108.58,108.58,109.35,110.16,110.16,110.77,117.87,117.87,117.87,117.87,119.67,119.67,119.67,119.67,121.49,121.49,121.49,121.49,129.36,131.11,133.44,134.52,136.43,136.43,136.93,136.93,136.93,137.04,137.04,137.04
KOTA MEDAN,117.85,116.87,115.51,114.37,115.3,116.52,116.76,116.47,117.09,116.62,118.09,119.66,117.44,115.95,114.21,112.57,113.58,114.98,115.2,114.86,115.6,115.01,116.71,118.6,104.83,105.53,105.3,105.28,105.25,105.57,105.77,105.65,105.84,105.87,106.29,106.5,-,-,-,-,-,-,-,-,-,-,-,-,129.5,131.42,132.26,134.14,135.18,135.59,135.99,135.99,135.99,136.1,136.47,136.47
KOTA PADANGSIDIMPUAN,121.17,122.27,121.51,120.06,121.29,122.37,123.81,122.7,124.15,123.6,123.15,123.48,120.72,121.87,120.94,119.1,120.45,121.22,122.73,121.39,123.08,122.41,121.85,122.25,104.8,105.17,105.17,105.84,105.84,105.89,106.8,106.8,106.8,106.82,106.84,106.84,-,-,-,-,-,-,-,-,-,-,-,-,131.25,132.39,132.58,133.11,133.99,137.84,138.91,139.07,139.33,139.46,139.62,139.62
KOTA GUNUNGSITOLI,122.25,120.75,118.21,116.61,116.92,116.82,118.61,118.87,119.65,118.42,120.48,121.5,125.07,122.02,118.8,116.67,117.05,117.12,119.25,119.52,120.44,118.95,121.44,122.67,101.32,106.03,106.03,106.03,106.03,104.14,104.51,104.87,105.21,105.21,105.21,105.21,100,100,100,100,100,100,100,100,100,100,100,100,116.7,123.89,125.21,127.15,127.15,127.15,127.15,127.15,127.15,127.15,127.15,127.15
KOTA PADANG,121.22,122.16,121.22,120.5,121.11,122.02,122.28,122.57,122.71,122.34,124.66,125.08,118.83,119.76,118.27,117.35,117.97,119,119.12,119.46,119.62,119.09,121.86,122.37,123.28,123.22,123.6,123.97,123.67,124.37,125.37,124.92,124.73,124.46,124.39,124.59,-,-,-,-,-,-,-,-,-,-,-,-,137.03,138.71,140.78,140.91,142,142.21,142.94,143.41,143.55,144.23,144.88,144.89
KOTA BUKITTINGGI,120.99,121.16,120.47,119.88,120.91,120.84,121.46,121.27,122.82,122.13,123.93,123.56,118.52,118.62,117.69,116.78,117.75,117.56,118.22,117.83,119.6,118.7,120.96,120.49,111.73,110.56,111.31,111.64,111.64,111.64,112.15,112.13,112.14,112.16,112.05,112.05,-,-,-,-,-,-,-,-,-,-,-,-,136.54,137.54,137.54,138.21,139.93,140.41,140.87,141.62,142.58,142.68,142.91,142.91
