150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,Makanan,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,Minuman Beralkohol,,,,,,,,,
,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober
KAB ACEH TENGAH,108.79,112.47,112.99,113.48,113.6,113.93,111.96,111.29,109.57,109.14,106.82,111.31,112,112.28,112.28,112.66,109.92,109.07,106.62,106.03,114.47,116.73,116.19,116.14,116.75,117.65,117.73,117.63,118.3,118.54,116.01,116.53,116.53,118.04,118.54,118.54,119.43,119.43,120.27,120.4,-,-,-,-,-,-,-,-,-,-
MEULABOH,107.81,110.02,112.05,109.44,109.13,109.89,107.87,106.95,107.55,107.35,108.37,111.18,113.28,109.93,108.93,109.9,106.98,105.8,106.56,106.21,101.09,101.5,101.5,101.5,108.01,108.02,108.24,108.42,108.49,109.09,106.65,106.65,108.76,108.76,110.17,110.17,111.57,111.57,111.57,111.88,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,108.01,108.74,110.35,111.08,110.51,110.66,107.82,108.79,107.69,107.82,106.53,107.36,109.31,109.68,108.93,109.08,105.26,105.87,104.12,104.13,105.4,106.5,106.09,105.97,105.49,105.49,105.49,105.49,110.19,110.19,116.76,116.84,117.4,120.39,120.71,120.94,122.13,125.46,125.56,126.35,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,108.26,110.06,110.75,109.46,110.58,109.81,107.56,107.49,107.02,106.84,107.89,110,110.8,109.25,110.42,109.54,106.85,106.54,105.85,105.59,101.38,101.36,101.27,101.09,100.95,100.82,100.94,100.92,102.55,102.61,116.82,116.82,116.95,117.43,118.96,118.96,119.31,121.48,121.68,122.09,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,105.64,107.3,109.49,109.07,109.31,109.59,106.66,106.82,107.23,105.7,104.97,106.96,109.18,108.67,108.94,109.21,105.68,105.58,105.75,103.56,103.1,103.1,105.3,105.3,104.52,105.84,105.96,106.21,106.09,106.19,111.22,111.22,113.26,113.26,113.65,113.65,113.65,115.51,117.79,120.09,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,105.34,108.74,112.05,111.34,111.52,109.51,106.39,107.29,105.86,105.83,104.41,108.28,112.41,111.53,111.77,109.19,105.22,105.99,104.1,103.17,108.2,108.33,108.33,108.33,104.94,105.94,105.91,108.03,108.49,109.48,109.38,111.34,111.34,111.34,112.44,112.44,112.76,113.99,114.4,118.79,-,-,-,-,-,-,-,-,-,-
KAB KARO,107.68,109.3,109.4,109.52,110.44,109.25,107.66,105.28,105.37,105.74,105.14,107.34,107.49,108.79,110.04,108.35,106.37,103.39,103.5,103.96,97.49,96.65,96.57,96.72,97.26,96.63,96.63,97.26,97.26,97.26,121.52,120.72,120.6,115.07,114.47,115.6,115.6,115.6,115.6,115.6,100,100,100,100,100,100,100,100,100,100
